Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords
left,Taking Shape',Interactive website,,./img/taking shape.jpg,,,,,
leftDoubleImage,GAGA',Interactive website,,,,,,,
leftDoubleImage,Noomo Lab',Interactive website,,,,,,,
2B,,,,,,,,,
leftDoubleImage,Illuminate',Interactive installation,,https://dam-prod2.media.mit.edu/thumb/2023/07/31/_MG_6457.jpg.1400x1400.jpg,https://dam-prod2.media.mit.edu/thumb/2023/07/22/_MG_6367.jpg.1400x1400.jpg,"Illuminate, 2023, Chelsi Alise Cocking",,https://www.media.mit.edu/projects/illuminate/overview/,"Visualization, Interactive installation, Project"
,Ksawery Komputery,"Artist, Poland",,,,,,,
,Per Kristian Stoveland,"Artist, Norway",,https://media-proxy.artblocks.io/0x99a9b7c1116f9ceeb1652de04d5969cce509b069/407000368,,,,,"Artist, Generative art, P5js,"
left,Bouquet Numérique,Generative art,,./img/Bouquet Numérique.png,,,,,"CreativeCoding, Generative art, Javascript, P5js"
,Text Rain,,,,,,,,
2C,,,,,,,,,
,Rewind',Interactive installation,,,,,,,"Interaction, Watch design, Installation, Electronics"
,Lachlan Turczan,,,,,,,,
